sidoname,cityname,pm25value,pm10value,datetime,day,week
제주,제주,45.0,76.0,2022-03-09T05:00:00.000Z,2022-03-09T00:00:00.000Z,2022-03-07T00:00:00.000Z
제주,제주,5.0,15.0,2022-03-18T03:00:00.000Z,2022-03-18T00:00:00.000Z,2022-03-14T00:00:00.000Z
제주,제주,10.0,20.0,2022-03-19T06:00:00.000Z,2022-03-19T00:00:00.000Z,2022-03-14T00:00:00.000Z
제주,제주,50.0,84.0,2022-03-09T07:00:00.000Z,2022-03-09T00:00:00.000Z,2022-03-07T00:00:00.000Z
제주,제주,42.0,64.0,2022-03-24T09:00:00.000Z,2022-03-24T00:00:00.000Z,2022-03-21T00:00:00.000Z
제주,제주,8.0,28.0,2022-03-28T02:00:00.000Z,2022-03-28T00:00:00.000Z,2022-03-28T00:00:00.000Z
제주,제주,26.0,67.0,2022-03-04T17:00:00.000Z,2022-03-04T00:00:00.000Z,2022-02-28T00:00:00.000Z
제주,제주,22.0,47.0,2022-03-17T05:00:00.000Z,2022-03-17T00:00:00.000Z,2022-03-14T00:00:00.000Z
제주,제주,18.0,29.0,2022-03-22T11:00:00.000Z,2022-03-22T00:00:00.000Z,2022-03-21T00:00:00.000Z
제주,제주,18.0,41.0,2022-03-17T12:00:00.000Z,2022-03-17T00:00:00.000Z,2022-03-14T00:00:00.000Z
제주,제주,11.0,19.0,2022-03-14T06:00:00.000Z,2022-03-14T00:00:00.000Z,2022-03-14T00:00:00.000Z
제주,제주,21.0,28.0,2022-03-24T03:00:00.000Z,2022-03-24T00:00:00.000Z,2022-03-21T00:00:00.000Z
제주,제주,40.0,82.0,2022-03-03T17:00:00.000Z,2022-03-03T00:00:00.000Z,2022-02-28T00:00:00.000Z
